ID,Speaker,Text,Choice1,Choice2,Choice3,Choice4,NextID,Condition,Action
1,player,终于带着全家人逃出来了！,,,,,2,,
2,NPC,哦孩子啊，分享一下你是如何带着家人逃生的？（开始答题）,,,,,3,,
3,NPC,以下哪种物品在灾害中最关键？,饮用水,游戏设备,化妆品,书籍,4,,
4,NPC,灾害发生时，应该优先撤离哪些人？,儿童和老人,青壮年,宠物,所有物品,5,,CheckAnswer(0,true)
5,NPC,在紧急情况下，应该如何与家人保持联系？,使用手机,大声呼喊,使用约定的集合地点,各自行动,6,,CheckAnswer(1,true)
6,NPC,如果需要长时间避难，应该准备多少天的物资？,1-2天,3-7天,10-15天,不需要准备,7,,CheckAnswer(2,false)
7,NPC,灾害发生后，应该避免做什么？,听从救援人员指挥,检查房屋安全,随意饮用自来水,有序撤离,8,,CheckAnswer(3,true)
8,system,计算答题结果,,,,,9,,CheckCorrectRate
9,NPC,真是好孩子，看来这场灾害让你成长了，如果再次遇到灾害你一定会像这次一样带着你的家人完美逃出的。,,,,,END,,
10,NPC,哦孩子，看起来这场灾害你只是侥幸逃生，但是希望有了这次的经历在下一次遇到灾害时，可以更好的保护自己。,,,,,END,,
